 Current Liability to Current Assets, Liability-Assets Flag, Total expense/Assets, Cash/Current Liability, Fixed Assets Turnover Frequency, Fixed Assets to Assets, Net Value Growth Rate, Revenue per person, Total assets to GNP price, Quick Asset Turnover Rate, Tax rate (A), Cash/Total Assets,Bankrupt?
0.118250477,0,0.064855708,0.000147336,0.000116501,0.424205762,0.000326977,0.034164182,0.00921944,6550000000,0,0.004094406,1
0.047775282,0,0.02551586,0.00138391,719000000,0.468828128,0.00044304,0.006888651,0.008323302,7700000000,0,0.014947727,1
0.025346489,0,0.021387428,5340000000,2650000000,0.276179222,0.000396425,0.02899696,0.040002853,0.001022676,0,0.000990944,1
0.067249617,0,0.02416107,0.001010646,9150000000,0.559143963,0.000382426,0.015463478,0.003252475,6050000000,0,0.018850625,1
0.047725372,0,0.026385246,0.000680464,0.000293521,0.309554917,0.000438948,0.058111423,0.003877563,5050000000,0,0.014160974,1
0.099521933,0,0.040093622,0.000100856,9300000000,0.60319348,0.000351782,0.021300471,0.005277875,2810000000,0,0.002645226,1
0.060765125,0,0.092802307,0.001050312,0.000145248,0.355853782,0.000351757,0.011459542,0.018371872,9560000000,0,0.022988598,0
0.030201105,0,0.025482153,0.000888122,0.000518201,0.218473358,0.00045105,0.028077494,0.010004504,6180000000,0.157607045,0.014615913,0
0.021710461,0,0.029884061,0.013190215,0.000245862,0.323861363,0.000452722,0.016382944,0.000824071,9840000000,0.00587104,0.145189218,0
0.025494302,0,0.035891062,0.000490883,0.000738342,0.254953362,0.000444912,0.033279967,0.005797642,3600000000,0.392448628,0.008772791,0
0.047166348,0,0.028802401,0.000335896,0.000174751,0.225490749,0.000448555,0.013894805,0.076972257,2920000000,0,0.002056836,0
0.033711602,0,0.05695228,0.002253735,0.000106666,0.328376159,0.000455068,0.01042551,0.007317881,8360000000,0,0.020542229,0
0.04351399,0,0.028981565,0.003220041,0.000214089,0.283665962,0.000442965,0.03532453,0.00823249,6910000000,0.185241421,0.058218001,0
0.028901672,0,0.024483556,0.005663643,0.00017929,0.412271984,0.000442092,0.026118121,0.005262223,6330000000,0,0.074169857,0
0.015553133,0,0.011941507,0.004008796,9460000000,0.577590085,0.000473734,0.02594774,0.003953923,8160000000,0,0.021194017,0
0.025812849,0,0.055381895,0.000371908,0.000305625,0.261446326,0.000469242,0.027695607,0.006590346,6060000000,0.258730641,0.003766824,0
0.04629123,0,0.007678609,0.007164914,5600000000,0.176992242,0.000458562,0.015014027,0.013610655,0.000213596,0.029456423,0.052866701,0
0.018156638,0,0.040018486,0.001639336,0.000228462,0.212349965,0.000471763,0.016403507,0.002746305,7550000000,0.217430914,0.013907171,0
0.040083663,0,0.0200028,0.000774571,0.000199715,0.588536992,0.000461032,0.104918996,0.004238395,319000000,0.09555623,0.012801285,0
0.021936861,0,0.087295963,0.009000166,0.000136926,0.453055477,0.00044556,0.004873463,0.001521377,8050000000,0.441643891,0.093503139,0
0.010940728,0,0.023529483,0.013033331,9000000000,0.312307508,0.00044561,0.018295316,0.014039384,0.000118963,0.261058812,0.031924086,0
0.018612943,0,0.033490378,0.010744401,0.000309408,0.282147476,0.000466397,0.025891926,0.000935478,0.000111245,0.208928029,0.139413215,0
